product_name,family_name,family_code
 Stainless Steel Chef Knife, Cutlery,52151600
 Cashmere Sweater, Sweaters,53101800
Apple Macbook Pro, Personal Computers,43211503
 Dumbbells Set, Weight and strength training equipment,49241502
 Black Leather Chair, Office seating,56101504
 Stainless Steel Knife Set, Cutlery,52151500
1. Dining Table, Furniture,56101501
"
2. Running Shoes", Footwear,53101800
"
3. Private Jet", Aircrafts,25131704
"
4. Organic Fertilizer", Agricultural and horticultural products,10151500
"Peacoat"""," ""Clothing""",531018
" ""Rice Cooker"""," ""Kitchen appliances""",521415
" ""Rose Plant"""," ""Live plants""",101615
" ""Digital Camera"""," ""Photographic equipment""",451215
" ""Rock Climbing Shoes"""," ""Footwear""",531119
Laptop sleeve, Portfolio & binder accessory,44102903
 Shampoo, Personal care product,53131605
 Red wine, Alcoholic beverage,50202204
 Teddy bear, Soft toy,60141106
LED Monitor, Office Machines,43211507
 Artisan Bread, Bakery Products,50170000
 High-performance Tire, Vehicle Tires,25172500
 Electric Guitar, Musical Instruments,60131500
"Tennis Racket"""," ""Athletic & Outdoor Equipment""",49141600
" ""Leather Sofa"""," ""Furniture""",56101500
" ""Almonds"""," ""Food Beverage & Tobacco""",50151600
" ""Baby Stroller"""," ""Women's & Babies Apparel""",53111700
" ""Hard Hat"""," ""Safety Apparel""",46181500
Sports Car, Motor vehicles,251015
 Electric Toothbrush, Personal care products,531316
 Chardonnay Wine, Alcoholic beverages,502022
 Women's Running Sneakers, Footwear,531100
Tennis Racket, Athletic & Outdoor Equipment,49161600
 Leather Sofa, Furniture,56101500
 Red Wine, Alcoholic Beverages,50202001
 LED Television, Televisions and Accessories,52161500
Stereo Headphones, Audio and Visual Equipment,45111600
 Leather Sofa, Domestic Furniture,56101600
 Almond Milk, Dairy products and egg products,50131700
 Hardwood Flooring, Building and Construction and Maintenance Services,30161500
Table Lamp, Lighting & Lighting Accessories,39111600
 Trail Mix, Snack Foods,50192100
 Ballpoint Pens, Writing & Drawing Instruments,44121700
 Garden Shovel, Gardening and Forestry Tools and Equipment,41102200
Notebook, Office Equipment,441021
 Red Wine, Beverages,502021
 Antibacterial Hand Sanitizer, Health and Personal Care Products,531316
 Women's Running Shoes, Footwear,531119
Leather Sofa, Furniture,561015
 Road Bicycle, Bicycles and Bicycles Parts,502316
 Organic Fertilizer, Crop Protectants and Soil Treatments,101700
 Argan Oil Shampoo, Personal Care Products,531316
Bike Helmet, Sports and Recreational Equipment,491615
 Hand Mixer, Kitchen Appliances,521415
 Leather Boots, Footwear,531018
 Picture Frame, Decorative Crafts,601415
Hand Sanitizer, Cleaning and sanitizing solutions,47131805
 Kayak, Watercraft,25111900
 Bed Sheets, Bedclothes and table and kitchen linen and towels,52121500
 Headphones, Portable media player accessory,52161514
Cashmere Sweater, Apparel,53100000
 LED Lightbulb, Lighting Fixtures and Accessories,39110000
 Garden Hose, Irrigation and Reticulation Systems,41110000
 Grilled Chicken Breast, Prepared Animal Feeds,10300000
 Organic Shampoo, Personal Care Products,53131600
Table Lamp, Lighting & Fixture Components,391116
 Racing Bicycle, Bicycles,491615
 Wool Scarf, Apparel & Accessories,531000
 Organic Fertilizer, Fertilizers & Plant Nutrients,101900
Turtleneck Sweater, Clothing,53100000
 Silicone Baking Mat, Food preparation and serving equipment,48101500
 Hardwood Flooring, Construction Materials,30161500
 Printed Circuit Board, Electronic Components,32101502
"Resurfacing Serum"""," ""Pharmaceuticals""",51282302
" ""Garden Shovel"""," ""Gardening and Landscaping Tools""",27113000
" ""Dining Chair"""," ""Furniture""",56101507
" ""Accordion"""," ""Musical Instruments""",60141000
Cotton T-Shirt, Apparel,53100000
 Lunchbox, Food Beverage and Tobacco Products,50000000
 Cordless Drill Machine, Hardware,31160000
 Dog Leash, Animal and Pet Supplies,10190000
 Baby Stroller, Baby Care,53130000
Portable Air Conditioner, Air Conditioners,40101800
 Men's Running Shoes, Footwear,53110000
 Red Blend Wine, Alcoholic Beverages,50202300
 Silver Necklace, Jewelry,54130000
Bicycle Helmet, Personal Safety and Protection,46180000
 Gardening Gloves, Clothing,53100000
 Office Chair, Furniture,56110000
 Blood Pressure Monitor, Medical Equipment and Accessories and Supplies,41000000
 Wrench Set, Hand tools,27110000
Bicycle, Cycles,491015
 Facial Toner, Personal care products,531316
 Chef Knife, Cutlery,521500
 Legal Paper, Office supplies,141115
Mountain Bike, Bicycles,49101502
 Coffee Maker, Beverage brewing equipment and supplies,52141500
 Leather Sofa, Furniture,56101500
 Laptop Computer, Personal computers,43211503
Children's Coloring Book, Printed Materials,55120000
 Leather biker Jacket, Apparel,53100000
 Oak Wood Dining Table, Furniture,56101500
 Antibacterial Hand Sanitizer, Cleaning and Janitorial Supplies,47131800
Classic Running Shoes, Footwear,53101800
 Lawn Mower, Agricultural machinery,21101700
 Electric Toothbrush, Personal care products,53131600
 LED Ceiling Lamp, Lighting fixtures,39111500
Yoga Mat, Athletic and Recreational Equipment,49141600
 Wooden Dining Table, Home Furnishing,56101500
 Hydraulic Excavator, Heavy Construction Machinery,72000000
 Molecular Biology Reagents, Laboratory Supplies,60105600
Toilet Paper, Personal paper products,14111506
 Red Wine, Alcoholic beverages,50202202
 Electric Drill, Power tools,27112700
 Running Shoes, Athletic shoes,53111900
 Laptop Computer, Computers,43211503
Hand Sanitizer , Personal care and hygiene,53131608
 Apple Juicer, Kitchen appliances,52141515
 Silk Dress, Women's Apparel,53121706
 Plastic Chair, Office furniture,56101504
Apple iPhone 11, Telecommunication devices and accessories,43000000
 Office Swivel Chair, Furniture and Furnishings,56000000
 Ceiling Paint, Painting and Finishing Materials,31210000
 Tennis Racket, Outdoor sports equipment,49000000
Pencil sharpener, Stationery,44121705
 Winter boots, Footwear,5311
 Olive oil, Edible Oils,50202304
 Patio table, Outdoor Living,80141601
Digital Camera, Photographic Equipment,45120000
 Toothpaste, Personal Care Products,53131500
 Leather Sofa, Furniture,56101500
 Apple Juice, Food and Beverage Products,50150000
Teddy Bear, Toys and Games,60141000
 Engine Oil, Lubricants and Oils,15121500
 Office Chair, Office furniture,56101700
 Organic Facial Mask, Skin Care Product,53131600
Black Leather Sofa, Furniture Families ,561015
 Pink Baby Stroller, Baby Supplies Families ,504803
 18k Gold Bracelet, Jewelry Families ,541300
 Chocolate Chip Cookies, Food and Beverage Families ,500000
"Electric Drill"" "," ""Hand tools"" ",271100
" ""Mango Body Lotion"" "," ""Personal care products"" ",531316
"
""Rice Cooker"" "," ""Kitchen appliance"" ",521415
"
""Desktop Computer"" "," ""Computer Equipment and Accessories"" ",432115
Banana, Fruit and vegetable production,10152000
 Dinner Plate, Kitchenware and tableware,52150000
 Hammer Drill, Power tools,27112500
 Antibacterial Handwash, Cleaning and janitorial supplies,47130000
Wheeled Tractor , Heavy Machinery - 241017,-1
 Wine Glasses , Drinkware - 521516,-1
 Running Shoes , Athletic & Outdoor Apparel - 531216,-1
 Lawn Fertilizer , Landscaping & Gardening Services - 711700,-1
 Disposable Syringes , Medical Consumables - 411200.,-1
Outdoor Camping Tent, Outdoor Living & Leisure,49120000
 Chocolate Chip Cookies, Bakery & Confectionery Products,50180000
 Office Desk Chair, Office Furniture,56101700
 Cutting Pliers, Hand Tools,27111500
Light Bulb, Lamps and Lightbulbs,391016
 Blue Jeans, Clothing and Apparel,531020
 Living Room Sofa, Furniture,561015
 Vitamin C tablets, Nutrition and Dieting products,505015
Apple MacBook Pro, Personal Computers,43211503
 Ceramic Dinner Plate, Dinnerware,52152100
 Cast Iron Skillet, Cookware,52121500
 Call of Duty Video Game, Software,43232102
Bamboo Toothbrush , Personal care products ,53131600
 Honeycomb Blinds , Window treatment and accessories ,30161500
 Electric Guitar , Musical Instruments ,60131500
 Running Shoes , Footwear ,53111900
1. Ankle Brace , Orthopedic Apparel ,42241501
" 
2. Organic Fertilizer ", Fertilizers and plant nutrients ,10170000
"
3. Acoustic Guitar ", Musical Instruments ,60131600
" 
4. LED Bulb ", Lamps and lightbulbs ,39101600
Laptop Computer , Computers and peripherals ,43211503
" 
Stainless Steel Cutlery Set ", Flatware and Serveware ,52151700
" 
Men's Running Shoes ", Clothing ,53110000
" 
Organic Fertilizer ", Agricultural and forestry and landscape machinery ,21101602
Mountain Bike, Outdoor Equipment,49120000
 Ceramic Dinnerware Set, Kitchenware and Tableware,52150000
 Desktop Computer, Computer Equipment and Accessories,43210000
 1TB External Hard Drive, Data Storage and Management,43201800
Sneakers, Athletic shoes,53111901
 Coffee Beans, Coffee or tea,50201702
 Laptop, Computer Equipment and Accessories,43210000
 Red Wine, Alcoholic beverages,50202202
Apple Macbook Pro, Laptop computers,43211503
 Men's Running Shoes, Athletic shoes,53111903
 Organic Almond Butter, Nut butters,50161507
 Electric Drill, Power drills,27111501
 LED Light Bulb, Lightbulbs,39101613
1. Sofa Bed, Home Furnishing Family,56101807
" 
2. Almond Milk", Non Alcoholic Beverage Family,50202302
" 
3. Thermoplastic Hose", Hoses and Hose Fittings Family,40142007
" 
4. Organic Fertilizer", Agricultural and Horticultural Products Family,10151502
Red Wine, Alcoholic beverages,50202204
 Lawn Mower, Grounds maintenance equipment,27110000
 Laptop, Portable Computer,43211503
 Plastic Chair, Office furniture,56101504
Case of Water Bottles, Non Alcoholic Beverages,50202300
 Mountain Bicycle, Recreational vehicles,25180000
 24 Karat Gold Necklace, Jewelry and watches,60141000
 Queen Size Mattress, Domestic Beds and Beddings,56122100
Blue Denim Jeans, Clothing,531000
 Garden Shovel, Hand Tools,271120
 Wireless Mouse, Computer Equipment and Accessories,432100
 Ceramic Plate Set, Table and Kitchen Linens and Accessories,521500
Hiking Boots, Footwear Manufacturing,31401500
 Porcelain Tea Set, Ceramic and Earthware Manufacturing,60131500
 Electric Guitar, Musical Instrument Manufacturing,60105000
 Organic Fertilizer, Agricultural and Horticultural Chemical Manufacturing,10191500
Road Bicycle, Two wheeled bicycles,49121505
 Office Chairs, Seating,56101504
 Facial Tissue, Tissue papers,14111510
 Android Tablet, Tablet computers,43211509
 Table Lamp, Lamps and lightbulbs,39101609
Leather Sofa, Furniture,561015
 Excavator, Heavy machinery,241015
" 
Sports Bicycle ", Recreational vehicles,251215
" 
Raspberry Jam", Processed & preserved fruits,501418
Acoustic Guitar , Musical Instruments ,60131500
 Running Shoes , Athletic Footwear ,53111901
 Organic Shampoo , Personal Care Products ,53131608
 Dining Table , Domestic Tables ,56101514
 LED Bulb , Light Sources ,39101613
Apple Juice, Fruit and Vegetable Based Beverages,50101704
 Laptop Bag, Carrying Cases,53121706
 Cycle Helmet, Headwear,53102713
 Acoustic Guitar, String Instruments,60131504
Running Shoes, Athletic and Sporting Goods,49200000
" 
Electric Drill", Tools and General Machinery,27100000
" 
Laptop Bag", Clothing Manufacturing Materials and Supplies,53000000
" 
Oak Wood Table", Furniture and Furnishings,56000000
" 
Bicycle Helmet", Personal Safety and Protection,46180000
Garden Shovel, Hand Tools,2711
 Brown Leather Boots, Footwear,5311
 Organic Chicken Feed, Animal feed,1019
 Red Wine Glass, Drinkware,5215
1. Tennis balls, Sporting Goods,491816
" 
2. Computer Mouse", Computer Equipment and Accessories,432117
"
3. Toothpaste", Personal Care Products,531316
"
4. Oven Mitts", Kitchen Tools and Gadgets,521415
Tennis Ball, Athletic and Sports Balls,49191509
 Led Bulb, Light sources and lighting accessories,39101618
 Stainless Steel Knife, Cutlery,52151505
 Clarinet, Wind instruments,60131506
1. Office Chair, Office Furniture,561015
"
2. Mountain Bike", Bicycles and Bicycle Elements,502017
" 
3. Organic Almonds", Nuts and Seeds,501317
"
4. Wool Coat", Outerwear and Jackets,531018
Football Cleats , Athletic and Sports Equipment ,49161500
 Cappuccino Machine ," Food, Beverage and Tobacco Products ",50170000
 Surgical Scalpel , Medical Material and Products ,42131700
 Hardcover Book , Printing and Graphic Arts ,45101700
 Desktop Computer , Computers and Peripherals ,43211500
Mountain Bike , Outdoor Recreation ,49120000
 Desk Lamp , Lightings and Fixtures ,39100000
 Oven Mitts , Clothing Accessories ,53100000
 Electric Drill , Tools and General Machinery ,27110000
Bluetooth Speakers, Portable Electronics,52161500
 Motorcycle Helmet, Personal Safety and Protection,46180000
 Gardening Gloves, Sites and Landscaping items,21100000
 Polyester Shirt, Clothing and Accessories,53100000
Mountain Bike, Human powered cycles,49161500
 Stainless Steel Knife Set, Cutlery,52151500
 Red Lipstick, Cosmetics,53131600
 Digital SLR Camera, Cameras,45121504
 Bluetooth Sound System, Audio and visual equipment,52161514
Laptop Travel Case, Luggage and bags,53120000
" 
Kids Mountain Bike", Recreational bicycles and accessories,49121500
" 
Oil Painting Canvas", Art supplies,60120000
" 
LED Light Bulb", Light sources,39101600
1. Running Shoes , Athletic shoes ,53111903
" 
2. Red Wine ", Alcoholic Beverages ,502022004
" 
3. Electric Toothbrush ", Oral Care Devices ,53131508
" 
4. Steel Nails ", Nails ,31162201
Bike Helmet, Personal Safety and Protection,46181702
 Tomato Sauce, Edible Vegetable or Plant Products,10121700
 Desktop Computer, Computer Systems,43211507
 Hiking Boots, Footwear,53110000
Football Cleats, Athletic and Recreational Equipment Material,49241500
 Chef Knife, Cutlery,52151900
 Red Wine, Beverages and Beverage Materials,50202200
 Office Desk, Furniture,56101700
Athletic Shoes, Athletic and recreational equipment,49161500
 Dining Table , Furniture and Furnishings ,56101500
 Wheat Flour ," Cereals, legumes, bulbs and tubers ",10151700
 Car Battery, Vehicle battery systems,25172100
Laptop Computer, Personal Computers Family,43211503
 Tennis Racket, Athletic and Recreational Equipment Family,49200000
 Cookware Set, Kitchen Tools and Serving Utensils Family,52150000
 Electric Drill, Power Tools Family,27111500
Sweater Dress, Apparel and Luggage and Personal Care Products,531000
 Hammer Drill, Tools and Machinery and Accessories,270000
 Spanish Olive Oil, Food and Beverages,500000
 Tulip Bulbs, Floriculture and Silviculture Products,101500
Bicycle, Human Powered Vehicles,25131500
 Sunscreen, Skin Care Products,53131600
 Pocket Watch, Time Pieces,54111700
 Dining Table, Domestic Furniture,56101500
Hair Dryer, Personal care products,531316
 Mountain Bike, Bicycles,491615
 Coffee Maker, Coffee or tea makers,521415
 Acoustic Guitar, Musical Instruments,601315
 Hiking Boots, Outdoor adventure footwear,531119
Eyeshadow Palette, Cosmetics,53131600
 Lawn Mower, Gardening and forestry,21101708
 Leather Handbags, Travel bags and accessories,53121700
 Walnut Hardwood Flooring, Flooring Material,30161704
"Metal Wrench""", Hand Tools,27112800
" ""Table Wine""", Alcoholic Beverages,50202200
" ""Lawn Mower""", Grounds Maintenance Equipment,21101900
" ""Cotton T-Shirt""", Casual Wear,53121600
Running Shoes, Athletic and Outdoor Shoes,531119
 Dishwasher, Household Kitchen Appliances,521415
 Fertilizer, Fertilizers and plant nutrients and herbicides,101915
 Construction Hoist, Lifting equipment and accessories,241015
 Children's Book, Printed Media,551015
Football Boots, Athletic and Outdoor Clothing and Equipment,49191600
 Radial Tires, Motor Vehicles and Trailers,25172500
 Latex Mattress, Furniture and Furnishings,56121000
 Watercolor Paint Set, Art Equipment and Accessories,60121500
 Planetary Mixer, Commercial and Industrial Cooking and Warming Equipment,48101500
Chandelier, Lighting Fixtures and Accessories,391115
 Manual Screwdriver, Hand Tools,271128
 Leather Couch, Furniture,561017
 Bicycle Helmet, Personal Safety and Security,461817
Motorbike Helmet, Personal Safety and Protection,461817
 Organic Fertilizer, Fertilizers and plant nutrients,101700
 Red Wine, Beverages,502022
 3-Drawer Dresser, Furniture,561015
Apple Juice, Beverages,50202304
 Dress Socks, Clothing,5310
 Ceramic Tiles, Building Materials,30161500
 Car Battery, Vehicle Parts,25172500
Floral Dress, Apparel,53100000
 Lawn Mower, Agricultural machinery and equipment,21100000
 Acoustic Guitar, Musical Instruments,60130000
 Electric Toothbrush, Personal care products,53131500
Microwave Oven, Domestic ovens,52141500
 Bicycle Helmet, Safety headgear,46181700
 Lipstick, Lip makeup,53131600
 Wall Clock, Clocks and watches,54111600
 Laptop Backpack, Luggage,53141600
Steel Hammer, Hand tools,271128
 Red Wine, Alcoholic Beverages,502022
 Desktop Computer, Computer Equipment and Accessories,432115
 Organic Milk, Dairy products and eggs,501315
Hammers,Hand tools,27110000
 Luxury Perfume,Personal care products,53131600
 Professional Camera,Cameras and film,45120000
 Running Shoes,Athletic wear,53100000
 Large Office Desk,Office furniture,56100000
Television, Audio and Visual Equipment and Supplies,45120000
